[ TIME ] [ JOB ID ]                [ EVENT TYPE ]
   4000      J69                      RELEASED
   4050      J39                       STARTED
   4050      J29                      FINISHED
   4070      J138                      RELEASED
   4070      J138                       STARTED
   4092      J138                      FINISHED
   4122      J39                      FINISHED
   4122      J49                       STARTED
   4172      J49                      FINISHED
   4172      J59                       STARTED
   4180      J139                      RELEASED
   4180      J139                       STARTED
   4202      J139                      FINISHED
   4244      J59                      FINISHED
   4244      J69                       STARTED
   4290      J140                      RELEASED
   4290      J140                       STARTED
   4312      J140                      FINISHED
   4316      J69                      FINISHED
   4400      J141                      RELEASED
   4400      J141                       STARTED
   4422      J141                      FINISHED
   4500      J210                      RELEASED
   4500      J310                      RELEASED
   4500      J210                       STARTED
   4500      J510                      RELEASED
   4500      J410                      RELEASED
   4500      J610                      RELEASED
   4510      J142                      RELEASED
   4510      J142                       STARTED
   4532      J142                      FINISHED
   4572      J210                      FINISHED
   4572      J310                       STARTED
   4620      J143                      RELEASED
   4620      J143                       STARTED
   4642      J143                      FINISHED
   4644      J310                      FINISHED
   4644      J410                       STARTED
   4694      J510                       STARTED
   4694      J410                      FINISHED
   4730      J144                      RELEASED
   4730      J144                       STARTED
   4752      J144                      FINISHED
   4766      J510                      FINISHED
   4766      J610                       STARTED
   4816      J610                      FINISHED
   4840      J145                      RELEASED
   4840      J145                       STARTED
   4862      J145                      FINISHED
   4950      J146                      RELEASED
   4950      J146                       STARTED
   4972      J146                      FINISHED
   5000      J311                      RELEASED
   5000      J211                      RELEASED
   5000      J211                       STARTED
   5000      J411                      RELEASED
   5000      J511                      RELEASED
   5000      J611                      RELEASED
   5050      J311                       STARTED
   5050      J211                      FINISHED
   5060      J147                      RELEASED
   5060      J147                       STARTED
   5082      J147                      FINISHED
   5122      J311                      FINISHED
   5122      J411                       STARTED
   5170      J148                      RELEASED
   5170      J148                       STARTED
   5192      J148                      FINISHED
   5194      J411                      FINISHED
   5194      J511                       STARTED
   5244      J511                      FINISHED
   5244      J611                       STARTED
   5280      J149                      RELEASED
   5280      J149                       STARTED
   5302      J149                      FINISHED
   5316      J611                      FINISHED
   5390      J150                      RELEASED
   5390      J150                       STARTED
   5412      J150                      FINISHED
   5500      J11                      RELEASED
   5500      J11                       STARTED
   5500      J31                      RELEASED
   5500      J21                      RELEASED
   5500      J41                      RELEASED
   5500      J51                      RELEASED
   5500      J61                      RELEASED
   5522      J11                      FINISHED
   5522      J21                       STARTED
   5572      J31                       STARTED
