[TIME]  [JOB ID]  [EVENT TYPE]
3333    34        RELEASED
3333    34        STARTED
3363    34        FINISHED
3333    34        RELEASED
3363    34        STARTED
3393    34        FINISHED
3200    9         RELEASED
3400    9         STARTED
3500    9         FINISHED
3434    35        RELEASED
3434    35        STARTED
3464    35        FINISHED
3434    35        RELEASED
3464    35        STARTED
3494    35        FINISHED
3200    9         RELEASED
3500    9         STARTED
3600    9         FINISHED
3535    36        RELEASED
3535    36        STARTED
3565    36        FINISHED
3535    36        RELEASED
3565    36        STARTED
3595    36        FINISHED
3636    37        RELEASED
3636    37        STARTED
3666    37        FINISHED
3636    37        RELEASED
3666    37        STARTED
3696    37        FINISHED
3600    10        RELEASED
3700    10        STARTED
3800    10        FINISHED
3737    38        RELEASED
3737    38        STARTED
3767    38        FINISHED
3737    38        RELEASED
3767    38        STARTED
3797    38        FINISHED
3600    10        RELEASED
3800    10        STARTED
3900    10        FINISHED
3838    39        RELEASED
3838    39        STARTED
3868    39        FINISHED
3838    39        RELEASED
3868    39        STARTED
3898    39        FINISHED
3600    10        RELEASED
3900    10        STARTED
4000    10        FINISHED
3939    40        RELEASED
3939    40        STARTED
3969    40        FINISHED
3939    40        RELEASED
3969    40        STARTED
3999    40        FINISHED
4040    41        RELEASED
4040    41        STARTED
4070    41        FINISHED
4040    41        RELEASED
4070    41        STARTED
4100    41        FINISHED
4000    11        RELEASED
4000    11        RELEASED
4140    11        STARTED
4240    11        FINISHED
4100    11        STARTED
4140    11        FINISHED
4141    42        RELEASED
4141    42        STARTED
4171    42        FINISHED
4141    42        RELEASED
4171    42        STARTED
4201    42        FINISHED
4000    11        RELEASED
4240    11        STARTED
4340    11        FINISHED
4242    43        RELEASED
4242    43        STARTED
4272    43        FINISHED
4242    43        RELEASED
4272    43        STARTED
4302    43        FINISHED
4343    44        RELEASED
4343    44        STARTED
4373    44        FINISHED
4343    44        RELEASED
4373    44        STARTED
4403    44        FINISHED
4400    12        RELEASED
4400    12        RELEASED
4443    12        STARTED
4543    12        FINISHED
4403    12        STARTED
4443    12        FINISHED
4444    45        RELEASED
4444    45        STARTED
4474    45        FINISHED
4444    45        RELEASED
4474    45        STARTED
4504    45        FINISHED
4400    12        RELEASED
4543    12        STARTED
4643    12        FINISHED
4545    46        RELEASED
4545    46        STARTED
4575    46        FINISHED
4545    46        RELEASED
4575    46        STARTED
4605    46        FINISHED
4400    12        RELEASED
4643    12        STARTED
4743    12        FINISHED
4646    47        RELEASED
4646    47        STARTED
4676    47        FINISHED
4646    47        RELEASED
4676    47        STARTED
4706    47        FINISHED
4747    48        RELEASED
4747    48        STARTED
4777    48        FINISHED
4747    48        RELEASED
4777    48        STARTED
4807    48        FINISHED
4800    13        RELEASED
4800    13        RELEASED
4847    13        STARTED
4947    13        FINISHED
4807    13        STARTED
4847    13        FINISHED
4848    49        RELEASED
4848    49        STARTED
4878    49        FINISHED
4848    49        RELEASED
4878    49        STARTED
4908    49        FINISHED
4800    13        RELEASED
4947    13        STARTED
5047    13        FINISHED
4949    50        RELEASED
4949    50        STARTED
4979    50        FINISHED
4949    50        RELEASED
4979    50        STARTED
5009    50        FINISHED
4800    13        RELEASED
5047    13        STARTED
5147    13        FINISHED
5050    51        RELEASED
5050    51        STARTED
5080    51        FINISHED
5050    51        RELEASED
5080    51        STARTED
5110    51        FINISHED
5151    52        RELEASED
5151    52        STARTED
5181    52        FINISHED
5151    52        RELEASED
5181    52        STARTED
5211    52        FINISHED
5200    14        RELEASED
5200    14        RELEASED
5251    14        STARTED
5351    14        FINISHED
5211    14        STARTED
5251    14        FINISHED
5252    53        RELEASED
5252    53        STARTED
5282    53        FINISHED
5252    53        RELEASED
5282    53        STARTED
5312    53        FINISHED
5200    14        RELEASED
5351    14        STARTED
5451    14        FINISHED
5353    54        RELEASED
5353    54        STARTED
5383    54        FINISHED
5353    54        RELEASED
5383    54        STARTED
5413    54        FINISHED
5200    14        RELEASED
5451    14        STARTED
5551    14        FINISHED
5454    55        RELEASED
5454    55        STARTED
5484    55        FINISHED
5454    55        RELEASED
5484    55        STARTED
5514    55        FINISHED
5555    56        RELEASED
5555    56        STARTED
5585    56        FINISHED
5555    56        RELEASED
5585    56        STARTED
5615    56        FINISHED
5600    15        RELEASED
5600    15        RELEASED
5615    15        STARTED
5655    15        FINISHED
5655    15        STARTED
5755    15        FINISHED
5656    57        RELEASED
5656    57        STARTED
5686    57        FINISHED
5656    57        RELEASED
5686    57        STARTED
5716    57        FINISHED
5600    15        RELEASED
5755    15        STARTED
5855    15        FINISHED
5757    58        RELEASED
5757    58        STARTED
5787    58        FINISHED
5757    58        RELEASED
5787    58        STARTED
5817    58        FINISHED
5600    15        RELEASED
5855    15        STARTED
5955    15        FINISHED
5858    59        RELEASED
5858    59        STARTED
5888    59        FINISHED
5858    59        RELEASED
5888    59        STARTED
5918    59        FINISHED
5959    60        RELEASED
5959    60        STARTED
5989    60        FINISHED
5959    60        RELEASED
5989    60        STARTED
6019    60        FINISHED
6000    16        RELEASED
6000    16        RELEASED
6059    16        STARTED
6159    16        FINISHED
6019    16        STARTED
6059    16        FINISHED
6060    61        RELEASED
6060    61        STARTED
6090    61        FINISHED
6060    61        RELEASED
6090    61        STARTED
6120    61        FINISHED
6000    16        RELEASED
6159    16        STARTED
6259    16        FINISHED
6161    62        RELEASED
6161    62        STARTED
6191    62        FINISHED
6161    62        RELEASED
6191    62        STARTED
6221    62        FINISHED
6000    16        RELEASED
6259    16        STARTED
6359    16        FINISHED
6262    63        RELEASED
6262    63        STARTED
6292    63        FINISHED
6262    63        RELEASED
6292    63        STARTED
6322    63        FINISHED
6363    64        RELEASED
6363    64        STARTED
6393    64        FINISHED
6363    64        RELEASED
6393    64        STARTED
6423    64        FINISHED
6400    17        RELEASED
6400    17        RELEASED
6423    17        STARTED
6463    17        FINISHED
6463    17        STARTED
6563    17        FINISHED
6464    65        RELEASED
6464    65        STARTED
6494    65        FINISHED
6464    65        RELEASED
6494    65        STARTED
6524    65        FINISHED
6400    17        RELEASED
6563    17        STARTED
6663    17        FINISHED
6565    66        RELEASED
6565    66        STARTED
6595    66        FINISHED
6565    66        RELEASED
6595    66        STARTED
6625    66        FINISHED
6400    17        RELEASED
6663    17        STARTED
6763    17        FINISHED
6666    67        RELEASED
6666    67        STARTED
6696    67        FINISHED
6666    67        RELEASED
6696    67        STARTED
6726    67        FINISHED
6767    68        RELEASED
6767    68        STARTED
6797    68        FINISHED
6767    68        RELEASED
6797    68        STARTED
6827    68        FINISHED
6800    18        RELEASED
6800    18        RELEASED
6867    18        STARTED
6967    18        FINISHED
6827    18        STARTED
6867    18        FINISHED
6868    69        RELEASED
6868    69        STARTED
6898    69        FINISHED
6868    69        RELEASED
6898    69        STARTED
6928    69        FINISHED
6800    18        RELEASED
6967    18        STARTED
7067    18        FINISHED
6969    70        RELEASED
6969    70        STARTED
6999    70        FINISHED
6969    70        RELEASED
6999    70        STARTED
7029    70        FINISHED
6800    18        RELEASED
7067    18        STARTED
7167    18        FINISHED
7070    71        RELEASED
7070    71        STARTED
7100    71        FINISHED
7070    71        RELEASED
7100    71        STARTED
7130    71        FINISHED
7171    72        RELEASED
7171    72        STARTED
7201    72        FINISHED
7171    72        RELEASED
7201    72        STARTED
7231    72        FINISHED
7200    19        RELEASED
7200    19        RELEASED
7231    19        STARTED
7271    19        FINISHED
7271    19        STARTED
7371    19        FINISHED
7272    73        RELEASED
7272    73        STARTED
7302    73        FINISHED
7272    73        RELEASED
7302    73        STARTED
7332    73        FINISHED
7200    19        RELEASED
7371    19        STARTED
7471    19        FINISHED
7373    74        RELEASED
7373    74        STARTED
7403    74        FINISHED
7373    74        RELEASED
7403    74        STARTED
7433    74        FINISHED
7200    19        RELEASED
7471    19        STARTED
7571    19        FINISHED
7474    75        RELEASED
7474    75        STARTED
7504    75        FINISHED
7474    75        RELEASED
7504    75        STARTED
7534    75        FINISHED
7575    76        RELEASED
7575    76        STARTED
7605    76        FINISHED
7575    76        RELEASED
7605    76        STARTED
7635    76        FINISHED
7600    20        RELEASED
7600    20        RELEASED
7635    20        STARTED
7675    20        FINISHED
7675    20        STARTED
7775    20        FINISHED
7676    77        RELEASED
7676    77        STARTED
7706    77        FINISHED
7676    77        RELEASED
7706    77        STARTED
7736    77        FINISHED
7600    20        RELEASED
7775    20        STARTED
7875    20        FINISHED
7777    78        RELEASED
7777    78        STARTED
7807    78        FINISHED
7777    78        RELEASED
7807    78        STARTED
7837    78        FINISHED
7600    20        RELEASED
7875    20        STARTED
7975    20        FINISHED
7878    79        RELEASED
7878    79        STARTED
7908    79        FINISHED
7878    79        RELEASED
7908    79        STARTED
7938    79        FINISHED
7979    80        RELEASED
7979    80        STARTED
8009    80        FINISHED
7979    80        RELEASED
8009    80        STARTED
8039    80        FINISHED
8000    21        RELEASED
8000    21        RELEASED
8039    21        STARTED
8079    21        FINISHED
8079    21        STARTED
8179    21        FINISHED
8080    81        RELEASED
8080    81        STARTED
8110    81        FINISHED
8080    81        RELEASED
8110    81        STARTED
8140    81        FINISHED
8000    21        RELEASED
8179    21        STARTED
8279    21        FINISHED
8181    82        RELEASED
8181    82        STARTED
8211    82        FINISHED
8181    82        RELEASED
8211    82        STARTED
8241    82        FINISHED
8000    21        RELEASED
8279    21        STARTED
8379    21        FINISHED
8282    83        RELEASED
8282    83        STARTED
8312    83        FINISHED
8282    83        RELEASED
8312    83        STARTED
8342    83        FINISHED
8383    84        RELEASED
8383    84        STARTED
8413    84        FINISHED
8383    84        RELEASED
8413    84        STARTED
8443    84        FINISHED
8400    22        RELEASED
8400    22        RELEASED
8483    22        STARTED
8583    22        FINISHED
8443    22        STARTED
8483    22        FINISHED
8484    85        RELEASED
8484    85        STARTED
8514    85        FINISHED
8484    85        RELEASED
8514    85        STARTED
8544    85        FINISHED
8400    22        RELEASED
8583    22        STARTED
8683    22        FINISHED
8585    86        RELEASED
8585    86        STARTED
8615    86        FINISHED
8585    86        RELEASED
8615    86        STARTED
8645    86        FINISHED
8400    22        RELEASED
8683    22        STARTED
8783    22        FINISHED
8686    87        RELEASED
8686    87        STARTED
8716    87        FINISHED
8686    87        RELEASED
8716    87        STARTED
8746    87        FINISHED
8787    88        RELEASED
8787    88        STARTED
8817    88        FINISHED
8787    88        RELEASED
8817    88        STARTED
8847    88        FINISHED
8800    23        RELEASED
8800    23        RELEASED
8847    23        STARTED
8887    23        FINISHED
8887    23        STARTED
8987    23        FINISHED
8888    89        RELEASED
8888    89        STARTED
8918    89        FINISHED
8888    89        RELEASED
8918    89        STARTED
8948    89        FINISHED
8800    23        RELEASED
8987    23        STARTED
9087    23        FINISHED
8989    90        RELEASED
8989    90        STARTED
9019    90        FINISHED
8989    90        RELEASED
9019    90        STARTED
9049    90        FINISHED
8800    23        RELEASED
9087    23        STARTED
9187    23        FINISHED
9090    91        RELEASED
9090    91        STARTED
9120    91        FINISHED
9090    91        RELEASED
9120    91        STARTED
9150    91        FINISHED
9191    92        RELEASED
9191    92        STARTED
9221    92        FINISHED
9191    92        RELEASED
9221    92        STARTED
9251    92        FINISHED
9200    24        RELEASED
9200    24        RELEASED
9291    24        STARTED
9391    24        FINISHED
9251    24        STARTED
9291    24        FINISHED
9292    93        RELEASED
9292    93        STARTED
9322    93        FINISHED
9292    93        RELEASED
9322    93        STARTED
9352    93        FINISHED
9200    24        RELEASED
9391    24        STARTED
9491    24        FINISHED
9393    94        RELEASED
9393    94        STARTED
9423    94        FINISHED
9393    94        RELEASED
9423    94        STARTED
9453    94        FINISHED
9200    24        RELEASED
9491    24        STARTED
9591    24        FINISHED
9494    95        RELEASED
9494    95        STARTED
9524    95        FINISHED
9494    95        RELEASED
9524    95        STARTED
9554    95        FINISHED
9595    96        RELEASED
9595    96        STARTED
9625    96        FINISHED
9595    96        RELEASED
9625    96        STARTED
9655    96        FINISHED
9600    25        RELEASED
9600    25        RELEASED
9655    25        STARTED
9695    25        FINISHED
9695    25        STARTED
9795    25        FINISHED
9696    97        RELEASED
9696    97        STARTED
9726    97        FINISHED
9696    97        RELEASED
9726    97        STARTED
9756    97        FINISHED
9600    25        RELEASED
9795    25        STARTED
9895    25        FINISHED
9797    98        RELEASED
9797    98        STARTED
9827    98        FINISHED
9797    98        RELEASED
9827    98        STARTED
9857    98        FINISHED
9600    25        RELEASED
9895    25        STARTED
9995    25        FINISHED
9898    99        RELEASED
9898    99        STARTED
9928    99        FINISHED
9898    99        RELEASED
9928    99        STARTED
9958    99        FINISHED
9999    100       RELEASED
9999    100       STARTED
10029   100       FINISHED
9999    100       RELEASED
10029   100       STARTED
10059   100       FINISHED
10000   26        RELEASED
10000   26        RELEASED
10099   26        STARTED
10199   26        FINISHED
10059   26        STARTED
10099   26        FINISHED
10400   27        RELEASED
10400   27        STARTED
10500   27        FINISHED
10800   28        RELEASED
10800   28        STARTED
10900   28        FINISHED
11200   29        RELEASED
11200   29        STARTED
11300   29        FINISHED
11600   30        RELEASED
11600   30        STARTED
11700   30        FINISHED
12000   31        RELEASED
12000   31        STARTED
12100   31        FINISHED
12400   32        RELEASED
12400   32        STARTED
12500   32        FINISHED
12800   33        RELEASED
12800   33        STARTED
12900   33        FINISHED
13200   34        RELEASED
13200   34        STARTED
13300   34        FINISHED
13600   35        RELEASED
13600   35        STARTED
13700   35        FINISHED
14000   36        RELEASED
14000   36        STARTED
14100   36        FINISHED
10100   101       RELEASED
10100   101       STARTED
10130   101       FINISHED
10100   101       RELEASED
10130   101       STARTED
10160   101       FINISHED
10000   26        RELEASED
10199   26        STARTED
10299   26        FINISHED
10201   102       RELEASED
10201   102       STARTED
10231   102       FINISHED
10201   102       RELEASED
10231   102       STARTED
10261   102       FINISHED
10000   26        RELEASED
10299   26        STARTED
10399   26        FINISHED
10302   103       RELEASED
10302   103       STARTED
10332   103       FINISHED
10302   103       RELEASED
10332   103       STARTED
10362   103       FINISHED
10403   104       RELEASED
10403   104       STARTED
10433   104       FINISHED
10403   104       RELEASED
10433   104       STARTED
10463   104       FINISHED
10400   27        RELEASED
10500   27        STARTED
10600   27        FINISHED
10504   105       RELEASED
10504   105       STARTED
10534   105       FINISHED
10504   105       RELEASED
10534   105       STARTED
10564   105       FINISHED
10400   27        RELEASED
10600   27        STARTED
10700   27        FINISHED
10605   106       RELEASED
10605   106       STARTED
10635   106       FINISHED
10605   106       RELEASED
10635   106       STARTED
10665   106       FINISHED
10400   27        RELEASED
10700   27        STARTED
10800   27        FINISHED
10706   107       RELEASED
10706   107       STARTED
10736   107       FINISHED
10706   107       RELEASED
10736   107       STARTED
10766   107       FINISHED
10807   108       RELEASED
10807   108       STARTED
10837   108       FINISHED
10807   108       RELEASED
10837   108       STARTED
10867   108       FINISHED
10800   28        RELEASED
10900   28        STARTED
11000   28        FINISHED
10908   109       RELEASED
10908   109       STARTED
10938   109       FINISHED
10908   109       RELEASED
10938   109       STARTED
10968   109       FINISHED
10800   28        RELEASED
11000   28        STARTED
11100   28        FINISHED
11009   110       RELEASED
11009   110       STARTED
11039   110       FINISHED
11009   110       RELEASED
11039   110       STARTED
11069   110       FINISHED
10800   28        RELEASED
11100   28        STARTED
11200   28        FINISHED
11110   111       RELEASED
11110   111       STARTED
11140   111       FINISHED
11110   111       RELEASED
11140   111       STARTED
11170   111       FINISHED
11211   112       RELEASED
11211   112       STARTED
11241   112       FINISHED
11211   112       RELEASED
11241   112       STARTED
11271   112       FINISHED
11200   29        RELEASED
11300   29        STARTED
11400   29        FINISHED
11312   113       RELEASED
11312   113       STARTED
11342   113       FINISHED
11312   113       RELEASED
11342   113       STARTED
11372   113       FINISHED
11200   29        RELEASED
11400   29        STARTED
11500   29        FINISHED
11413   114       RELEASED
11413   114       STARTED
11443   114       FINISHED
11413   114       RELEASED
11443   114       STARTED
11473   114       FINISHED
11200   29        RELEASED
11500   29        STARTED
11600   29        FINISHED
11514   115       RELEASED
11514   115       STARTED
11544   115       FINISHED
11514   115       RELEASED
11544   115       STARTED
11574   115       FINISHED
11615   116       RELEASED
11615   116       STARTED
11645   116       FINISHED
11615   116       RELEASED
11645   116       STARTED
11675   116       FINISHED
11600   30        RELEASED
11700   30        STARTED
11800   30        FINISHED
11716   117       RELEASED
11716   117       STARTED
11746   117       FINISHED
11716   117       RELEASED
11746   117       STARTED
11776   117       FINISHED
11600   30        RELEASED
11800   30        STARTED
11900   30        FINISHED
11817   118       RELEASED
11817   118       STARTED
11847   118       FINISHED
11817   118       RELEASED
11847   118       STARTED
11877   118       FINISHED
11600   30        RELEASED
11900   30        STARTED
12000   30        FINISHED
11918   119       RELEASED
11918   119       STARTED
11948   119       FINISHED
11918   119       RELEASED
11948   119       STARTED
11978   119       FINISHED
12019   120       RELEASED
12019   120       STARTED
12049   120       FINISHED
12019   120       RELEASED
12049   120       STARTED
12079   120       FINISHED
12000   31        RELEASED
12100   31        STARTED
12200   31        FINISHED
12120   121       RELEASED
12120   121       STARTED
12150   121       FINISHED
12120   121       RELEASED
12150   121       STARTED
12180   121       FINISHED
12000   31        RELEASED
12200   31        STARTED
12300   31        FINISHED
12221   122       RELEASED
12221   122       STARTED
12251   122       FINISHED
12221   122       RELEASED
12251   122       STARTED
12281   122       FINISHED
12000   31        RELEASED
12300   31        STARTED
12400   31        FINISHED
12322   123       RELEASED
12322   123       STARTED
12352   123       FINISHED
12322   123       RELEASED
12352   123       STARTED
12382   123       FINISHED
12423   124       RELEASED
12423   124       STARTED
12453   124       FINISHED
12423   124       RELEASED
12453   124       STARTED
12483   124       FINISHED
12400   32        RELEASED
12500   32        STARTED
12600   32        FINISHED
12524   125       RELEASED
12524   125       STARTED
12554   125       FINISHED
12524   125       RELEASED
12554   125       STARTED
12584   125       FINISHED
12400   32        RELEASED
12600   32        STARTED
12700   32        FINISHED
12625   126       RELEASED
12625   126       STARTED
12655   126       FINISHED
12625   126       RELEASED
12655   126       STARTED
12685   126       FINISHED
12400   32        RELEASED
12700   32        STARTED
