ECU0: LK, ECU1: CC
1200, ECU1: CC, 1
1210, ECU0: LK, 0
1210, ECU1: CC, 0
1220, ECU0: LK, 1
1220, ECU1: CC, 1
1230, ECU0: LK, 0
1230, ECU1: CC, 0
1240, ECU0: LK, 1
1240, ECU1: CC, 1
1250, ECU0: LK, 0
1250, ECU1: CC, 0
1260, ECU0: LK, 1
1260, ECU1: CC, 1
1270, ECU0: LK, 0
1270, ECU1: CC, 0
1280, ECU0: LK, 1
1280, ECU1: CC, 1
1290, ECU0: LK, 0
1290, ECU1: CC, 0
1300, ECU0: LK, 1
1300, ECU1: CC, 1
1310, ECU0: LK, 0
1310, ECU1: CC, 0
1320, ECU0: LK, 1
1320, ECU1: CC, 1
1330, ECU0: LK, 0
1330, ECU1: CC, 0
1340, ECU0: LK, 1
1340, ECU1: CC, 1
1350, ECU0: LK, 0
1350, ECU1: CC, 0
1360, ECU0: LK, 1
1360, ECU1: CC, 1
1370, ECU0: LK, 0
1370, ECU1: CC, 0
1380, ECU0: LK, 1
1380, ECU1: CC, 1
1390, ECU0: LK, 0
1390, ECU1: CC, 0
1400, ECU0: LK, 1
1400, ECU1: CC, 1
1410, ECU0: LK, 0
1410, ECU1: CC, 0
1420, ECU0: LK, 1
1420, ECU1: CC, 1
1430, ECU0: LK, 0
1430, ECU1: CC, 0
1440, ECU0: LK, 1
1440, ECU1: CC, 1
1450, ECU0: LK, 0
1450, ECU1: CC, 0
1460, ECU0: LK, 1
1460, ECU1: CC, 1
1470, ECU0: LK, 0
1470, ECU1: CC, 0
1480, ECU0: LK, 1
1480, ECU1: CC, 1
1490, ECU0: LK, 0
1490, ECU1: CC, 0
1500, ECU0: LK, 1
1500, ECU1: CC, 1
1510, ECU0: LK, 0
1510, ECU1: CC, 0
1520, ECU0: LK, 1
1520, ECU1: CC, 1
1530, ECU0: LK, 0
1530, ECU1: CC, 0
1540, ECU0: LK, 1
1540, ECU1: CC, 1
1550, ECU0: LK, 0
1550, ECU1: CC, 0
1560, ECU0: LK, 1
1560, ECU1: CC, 1
1570, ECU0: LK, 0
1570, ECU1: CC, 0
1580, ECU0: LK, 1
1580, ECU1: CC, 1
1590, ECU0: LK, 0
1590, ECU1: CC, 0
1600, ECU0: LK, 1
1600, ECU1: CC, 1
1610, ECU0: LK, 0
1610, ECU1: CC, 0
1620, ECU0: LK, 1
1620, ECU1: CC, 1
1630, ECU0: LK, 0
1630, ECU1: CC, 0
1640, ECU0: LK, 1
1640, ECU1: CC, 1
1650, ECU0: LK, 0
1650, ECU1: CC, 0
1660, ECU0: LK, 1
1660, ECU1: CC, 1
1670, ECU0: LK, 0
1670, ECU1: CC, 0
1680, ECU0: LK, 1
1680, ECU1: CC, 1
1690, ECU0: LK, 0
1690, ECU1: CC, 0
1700, ECU0: LK, 1
1700, ECU1: CC, 1
1710, ECU0: LK, 0
1710, ECU1: CC, 0
1720, ECU0: LK, 1
1720, ECU1: CC, 1
1730, ECU0: LK, 0
1730, ECU1: CC, 0
1740, ECU0: LK, 1
1740, ECU1: CC, 1
1750, ECU0: LK, 0
1750, ECU1: CC, 0
1760, ECU0: LK, 1
1760, ECU1: CC, 1
1770, ECU0: LK, 0
1770, ECU1: CC, 0
1780, ECU0: LK, 1
1780, ECU1: CC, 1
1790, ECU0: LK, 0
1790, ECU1: CC, 0
1800, ECU0: LK, 1
1800, ECU1: CC, 1
1810, ECU0: LK, 0
1810, ECU1: CC, 0
1820, ECU0: LK, 1
1820, ECU1: CC, 1
1830, ECU0: LK, 0
1830, ECU1: CC, 0
1840, ECU0: LK, 1
1840, ECU1: CC, 1
1850, ECU0: LK, 0
1850, ECU1: CC, 0
1860, ECU0: LK, 1
1860, ECU1: CC, 1
1870, ECU0: LK, 0
1870, ECU1: CC, 0
1880, ECU0: LK, 1
1880, ECU1: CC, 1
1890, ECU0: LK, 0
1890, ECU1: CC, 0
1900, ECU0: LK, 1
1900, ECU1: CC, 1
1910, ECU0: LK, 0
1910, ECU1: CC, 0
1920, ECU0: LK, 1
1920, ECU1: CC, 1
1930, ECU0: LK, 0
1930, ECU1: CC, 0
1940, ECU0: LK, 1
1940, ECU1: CC, 1
1950, ECU0: LK, 0
1950, ECU1: CC, 0
1960, ECU0: LK, 1
1960, ECU1: CC, 1
1970, ECU0: LK, 0
1970, ECU1: CC, 0
1980, ECU0: LK, 1
1980, ECU1: CC, 1
1990, ECU0: LK, 0
1990, ECU1: CC, 0
2000, ECU0: LK, 1
2000, ECU1: CC, 1
2010, ECU0: LK, 0
2010, ECU1: CC, 0
2020, ECU0: LK, 1
2020, ECU1: CC, 1
2030, ECU0: LK, 0
2030, ECU1: CC, 0
2040, ECU0: LK, 1
2040, ECU1: CC, 1
2050, ECU0: LK, 0
2050, ECU1: CC, 0
2060, ECU0: LK, 1
2060, ECU1: CC, 1
2070, ECU0: LK, 0
2070, ECU1: CC, 0
2080, ECU0: LK, 1
2080, ECU1: CC, 1
2090, ECU0: LK, 0
2090, ECU1: CC, 0
2100, ECU0: LK, 1
2100, ECU1: CC, 1
2110, ECU0: LK, 0
2110, ECU1: CC, 0
2120, ECU0: LK, 1
2120, ECU1: CC, 1
2130, ECU0: LK, 0
2130, ECU1: CC, 0
2140, ECU0: LK, 1
2140, ECU1: CC, 1
2150, ECU0: LK, 0
